isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,delta_bfs_post,is_outlier,main_group,n_onet_berufe,sektor,employed_2019,employed_2022,delta_bfs_pre,did
3211,0.0622487196964611,0.0544743754808877,0.0734283960082606,12.35563067038782,False,3,1,Gesundheit & Bildung,7.564779524312001,7.546524178165999,-0.24132026699961004,12.59695093738743
3212,0.17591807543823984,0.15900250831441837,0.19984924082963001,-2.2998627320771474,False,3,5,Gesundheit & Bildung,6.109921314873999,7.281498105076999,19.17498982107858,-21.474852553155728
3214,0.10284623184788792,0.08814279862597357,0.12413488736114199,-9.276261385655218,False,3,6,Gesundheit & Bildung,4.134961833761,4.551515015314,10.073930505281572,-19.35019189093679
3240,0.1907999661530431,0.1732996112721491,0.2154728387601402,25.29949048798734,False,3,1,Gesundheit & Bildung,2.966479158697,3.337339874521,12.501713175254444,12.797777312732897
3252,0.5270247430035188,0.49957562498871116,0.5635080496089936,-2.470545011933432,False,3,3,Gesundheit & Bildung,0.6854412320940001,0.707328782249,3.193205942416703,-5.663750954350135
3254,0.15563860129310222,0.13442583842963893,0.18628127145299625,-11.212312649978736,False,3,3,Gesundheit & Bildung,5.159164283994,5.256679593504,1.890137707235547,-13.102450357214284
3255,0.07801970086289196,0.06649316446376863,0.09473396814138163,-2.919764108399224,False,3,3,Gesundheit & Bildung,11.332949840937003,12.063985162247,6.4505299288393925,-9.370294037238617
3256,0.1177742830429177,0.10535482282363184,0.13545538313544014,-0.7566030025209012,False,3,2,Gesundheit & Bildung,26.565376934990002,31.51451494805901,18.630031206334433,-19.386634208855334
3258,0.00613883740600005,0.00521320797760165,0.00748229392418245,12.675399704478275,False,3,2,Gesundheit & Bildung,4.338432195639001,4.050694959712999,-6.632286110527119,19.307685815005392
3259,0.12876229633553748,0.11272683087379011,0.1518180718748117,3.1233171310394097,False,3,6,Gesundheit & Bildung,0.4905196827900001,0.608573771748,24.067146151307632,-20.943829020268222
3311,0.36522219309225074,0.33730452369147057,0.4039899490520569,2.1680827005261043,False,3,2,Finanz & Beratung,6.6565881499440005,8.357260989684999,25.548716571195797,-23.380633870669694
3313,0.46044686453367106,0.46309823756997015,0.45194794682028944,1.2929950783281243,False,3,2,Finanz & Beratung,36.862066496269,35.694219590095,-3.1681536527318745,4.461148731059999
3315,0.43672424063098303,0.42873251930348233,0.4445902042635362,-0.8969205988883489,False,3,4,Finanz & Beratung,2.928201634256,3.6551101946799993,24.824402524749377,-25.721323123637728
3321,0.4337229362627937,0.40601477624522003,0.4715066549783726,0.6588933582317137,False,3,3,Finanz & Beratung,14.328376291879003,16.217702350982005,13.185904813051492,-12.527011454819778
3323,0.1902989200307821,0.1669756415108802,0.22380375719438086,1.6052996370863597,False,3,3,Finanz & Beratung,10.040502158509,10.104688062421005,0.6392698582073357,0.966029778879024
3324,0.1536723637749878,0.143447928500438,0.1676767310834312,17.00982044669558,False,3,1,Finanz & Beratung,8.317970262485,6.286050496707,-24.428072013459712,41.4378924601553
3331,0.21582229374477324,0.18874781255135512,0.2547653416944867,-18.398159675292963,False,3,2,Finanz & Beratung,3.7369115562719997,4.544567426216001,21.612924410491836,-40.0110840857848
3332,0.0,0.0,0.0,24.93449883945564,False,3,1,Finanz & Beratung,5.161285392185001,4.823599589778,-6.542668671612509,31.477167511068146
3333,0.0,0.0,0.0,-0.7813223426707291,False,3,1,Finanz & Beratung,2.104642385276,1.4332020387599995,-31.9028235491869,31.121501206516168
3334,0.191166198532694,0.1616478350016404,0.2340538550361737,-0.0204796856668994,False,3,1,Finanz & Beratung,21.155813816,24.240044403385003,14.578643082273782,-14.599122767940681
