soc_code,s_ij,E_j,E_sub_j,E_aug_j,isco_4digit,mapping_stage,ch_isco_4digit,ch_isco_label,main_group,employed_2022,employed_2024,delta_bfs,is_outlier
15-1243.00,0.5173678370851301,0.0,0.0,0.0,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False
15-1251.00,0.5738996799126658,0.0,0.0,0.0,2514,1,2514,Anwendungsprogrammierer,2,12.634662618871998,13.834326672812937,9.495022464225034,False
15-1252.00,0.466865731044198,0.0,0.0,0.0,2512,1,2512,Softwareentwickler,2,68.19933209303699,71.44350839669346,4.756903336283109,False
15-1253.00,0.46358577433571685,0.0,0.0,0.0,2519,1,2519,"Entwickler und Analytiker von Software und Anwendungen, anderweitig nicht genannt",2,2.6580083804119994,2.8958302583726145,8.947371261626799,False
15-1254.00,0.4929630476428056,0.0,0.0,0.0,2513,1,2513,Mediamatiker,2,5.302707827998,4.9787925200163,-6.10848869084292,False
15-1255.01,0.38333352856957037,0.0,0.0,0.0,2166,1,2166,Grafik- und Multimediadesigner,2,12.445369746459,13.714818712509937,10.20017076159689,False
15-1299.01,0.45400963754678236,0.0,0.0,0.0,2521,1,2521,Datenbankentwickler und -administratoren,2,4.259532754658,5.595270601260391,31.35878800654129,False
15-1299.02,0.5257580557218928,0.0,0.0,0.0,2165,1,2165,Kartografen und Vermessungsingenieure,2,1.377854227406,1.5452771434024477,12.150989028182206,False
15-1299.03,0.4188184494981958,0.0,0.0,0.0,2621,1,2621,Archiv- und Museumswissenschaftler,2,2.5007701291260007,3.436134062024667,37.40303524920816,False
15-1299.08,0.47209582295428776,0.0,0.0,0.0,2511,1,2511,Systemanalytiker,2,29.740223548839005,32.15004470820105,8.102901968455852,False
15-2011.00,0.531881155007123,0.0,0.0,0.0,3321,1,3321,Versicherungsvertreter,3,16.217702350982005,16.324559714630414,0.6588933582317137,False
15-2021.00,0.5851918014286939,0.0,0.0,0.0,2120,1,2120,"Mathematiker, Aktuare und Statistiker",2,8.721144665276999,11.404907910852772,30.77306189244979,False
15-2031.00,0.5845353972840442,0.0,0.0,0.0,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False
15-2041.00,0.6384248420472659,0.0,0.0,0.0,2120,1,2120,"Mathematiker, Aktuare und Statistiker",2,8.721144665276999,11.404907910852772,30.77306189244979,False
15-2041.01,0.49237105958539423,0.0,0.0,0.0,2131,1,2131,"Biologen, Botaniker, Zoologen und verwandte Berufe",2,8.866294443315,9.867582137765408,11.293192447554636,False
15-2051.01,0.5201703232325714,0.0,0.0,0.0,2421,1,2421,Spezialisten im Bereich Management- und Organisationsanalyse,2,23.15272405713,25.047760093979186,8.184937686697829,False
15-2051.02,0.40886952548322025,0.0,0.0,0.0,3252,1,3252,Fachkräfte im Bereich medizinische Dokumentation und Information,3,0.707328782249,0.6898539063011778,-2.470545011933432,False
15-2099.01,0.5452976668696978,0.0,0.0,0.0,3141,1,3141,Biotechniker (ohne medizinische Fachberufe),3,3.350140159418,3.229993311397246,-3.5863230283961043,False
17-1011.00,0.33733265527141665,0.0,0.0,0.0,2161,1,2161,Architekten,2,28.544426125306003,31.36889082452777,9.894978048683711,False
17-1012.00,0.10342366841917586,0.0,0.0,0.0,2162,1,2162,Landschaftsarchitekten,2,1.572515060856,1.6623136588834688,5.71050797940129,False
