ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,delta_x28,delta_x28_pre,did_x28,is_outlier_x28,main_group
1341,62.165,79.3325,93.7525,93.8775,84.9175,60.0,-9.42374870003466,50.81235421861175,-60.23610291864641,False,1
1342,442.8,525.1800000000001,567.3475,523.3925,464.23,477.61249999999995,-18.175368711415835,28.127258355916883,-46.30262706733272,False,1
1345,198.33249999999998,210.23000000000002,274.645,334.6,304.4175,288.7575,10.840357552476847,38.47705242459003,-27.636694872113182,False,1
1346,126.03999999999999,164.7925,232.04000000000002,239.5825,209.79000000000002,223.22750000000002,-9.588863988967418,84.10028562361158,-93.689149612579,False,1
1349,306.03,312.26,418.495,373.03,318.3475,295.505,-23.9303934336133,36.74966506551647,-60.68005849912977,False,1
1400,485.75,441.375,497.125,350.875,295.145,321.865,-40.62962031682173,2.341739577972208,-42.971359894793935,False,1
1412,177.6075,199.64499999999998,323.8225,321.025,279.4075,296.73,-13.71584741640867,82.32478921216727,-96.04063662857594,False,1
1420,121.7075,136.41,170.45499999999998,152.25,125.0,113.0825,-26.66686222170074,40.052995912330786,-66.71985813403153,False,1
1439,150.54000000000002,195.0,221.4175,226.20999999999998,192.4575,195.645,-13.079363645601628,47.08217085160087,-60.161534497202496,False,1
2000,1276.3525,1400.7024999999999,1634.215,1485.175,1280.03,1135.1275,-21.673096869139002,28.037904889127415,-49.71100175826642,False,2
2111,55.457499999999996,65.02,64.6675,74.66499999999999,69.4175,65.875,7.3452661692503955,16.607311905513246,-9.26204573626285,False,2
2113,111.105,128.27,162.0425,129.375,103.5,92.69,-36.12786768903219,45.84627154493496,-81.97413923396715,False,2
2120,153.76,170.23,175.89749999999998,138.245,122.70250000000001,109.725,-30.24204437243279,14.397437565036414,-44.639481937469206,False,2
2130,197.0,244.70999999999998,264.0425,237.395,160.625,167.9375,-39.16699016256853,34.031725888324885,-73.19871605089341,False,2
2131,65.8825,90.8325,113.5625,75.355,74.9175,53.64,-34.029719317556406,72.37126702842183,-106.40098634597823,False,2
2141,104.355,159.2925,204.3325,193.7075,160.2425,153.275,-21.577575764990886,95.80518422691775,-117.38275999190863,False,2
2142,385.75,436.99,500.1325,488.5625,489.7675,488.1575,-2.0724508005378595,29.651976668826958,-31.724427469364816,False,2
2143,42.207499999999996,46.2975,59.667500000000004,73.05,61.557500000000005,43.614999999999995,3.1675535257887466,41.36705561807738,-38.19950209228863,False,2
2144,108.72749999999999,169.16500000000002,217.26,207.9525,183.9125,168.2025,-15.349120869004878,99.8206525488032,-115.16977341780807,False,2
2149,2748.6,3687.6225,4585.085,4162.6849999999995,3474.2325,3108.5825,-24.227522499582886,66.8152877828713,-91.04281028245418,False,2
2151,159.54000000000002,200.64749999999998,262.22749999999996,222.395,175.1575,153.8875,-33.20399271624829,64.36473611633443,-97.5687288325827,False,2
2152,68.8325,105.7075,146.1675,118.975,96.5625,94.6425,-33.937092718969666,112.3524497875277,-146.28954250649736,False,2
2161,470.3475,571.48,702.8824999999999,630.03,539.515,557.3225,-23.24250497060319,49.43897862750411,-72.6814835981073,False,2
2162,63.167500000000004,73.4175,98.645,80.875,66.2525,81.495,-32.83744741243854,56.164166699647744,-89.00161411208629,False,2
2163,108.25,180.605,217.54000000000002,193.22750000000002,136.3575,140.1825,-37.318424197848685,100.96073903002312,-138.2791632278718,False,2
2164,94.1875,124.6375,154.895,138.175,134.9325,111.5825,-12.887762677943126,64.45388188453883,-77.34164456248196,False,2
2165,149.5925,188.4775,190.2975,166.87,157.565,173.95,-17.20069890566088,27.210588766148042,-44.41128767180892,False,2
