ch_isco_4digit,ch_isco_label,main_group,label_clean
3334,Immobilienmakler und -verwalter,3,immobilienmakler und verwalter
3339,"Fachkräfte für unternehmensbezogene Dienstleistungen, anderweitig nicht genannt",3,fachkraefte fuer unternehmensbezogene dienstleistungen anderweitig nicht genannt
3340,"Sekretariatsfachkräfte, onA",3,sekretariatsfachkraefte ona
3341,Sekretariatsleiter,3,sekretariatsleiter
3342,Sekretariatsfachkräfte im juristischen Bereich,3,sekretariatsfachkraefte im juristischen bereich
3343,Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung,3,sekretariatsfachkraefte in verwaltung und geschaeftsleitung
3344,Sekretariatsfachkräfte im Gesundheitswesen,3,sekretariatsfachkraefte im gesundheitswesen
3350,"Fachkräfte in der öffentlichen Verwaltung, onA",3,fachkraefte in der oeffentlichen verwaltung ona
3351,Fachkräfte im Zolldienst und Grenzschutz,3,fachkraefte im zolldienst und grenzschutz
3352,Fachkräfte in der Steuerverwaltung,3,fachkraefte in der steuerverwaltung
3353,Fachkräfte in Sozialverwaltung und -versicherung,3,fachkraefte in sozialverwaltung und versicherung
3354,"Fachkräfte bei staatlichen Pass-, Lizenz- und Genehmigungsstellen",3,fachkraefte bei staatlichen pass lizenz und genehmigungsstellen
3355,Polizeikommissare und Kriminalbeamte,3,polizeikommissare und kriminalbeamte
3359,"Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt",3,fachkraefte in der oeffentlichen verwaltung anderweitig nicht genannt
3400,"Juristische, soziale, kulturelle und verwandte Fachkräfte, onA",3,juristische soziale kulturelle und verwandte fachkraefte ona
3410,"Juristische, soziale und religiöse Berufe, onA",3,juristische soziale und religioese berufe ona
3411,Fachkräfte für Rechts- und verwandte Angelegenheiten,3,fachkraefte fuer rechts und verwandte angelegenheiten
3412,Soziale Fachkräfte,3,soziale fachkraefte
3413,Ordensbrüder/-schwestern und Seelsorgehelfer,3,ordensbrueder schwestern und seelsorgehelfer
3420,"Fachkräfte im Bereich Sport und Fitness, onA",3,fachkraefte im bereich sport und fitness ona
3421,Athleten und Berufssportler,3,athleten und berufssportler
3422,"Sportlehrer, Sporttrainer und Sportfunktionäre",3,sportlehrer sporttrainer und sportfunktionaere
3423,Trainer und Betreuer im Bereich Fitness und Erholung,3,trainer und betreuer im bereich fitness und erholung
3430,"Fachkräfte in Gestaltung und Kultur sowie Küchenchefs, onA",3,fachkraefte in gestaltung und kultur sowie kuechenchefs ona
3431,Fotografen,3,fotografen
3432,Raumgestalter und Dekorateure,3,raumgestalter und dekorateure
3433,"Fachkräfte in Kunstgalerien, Museen und Bibliotheken",3,fachkraefte in kunstgalerien museen und bibliotheken
3434,"Küchenchefs, stv. Küchenchefs und Souschefs",3,kuechenchefs stv kuechenchefs und souschefs
3435,Sonstige Fachkräfte in Gestaltung und Kultur,3,sonstige fachkraefte in gestaltung und kultur
3500,"Informations- und Kommunikationstechniker, onA",3,informations und kommunikationstechniker ona
3510,"Techniker für den Betrieb von Informations- und Kommunikationstechnologie und für die Anwenderbetreuung, onA",3,techniker fuer den betrieb von informations und kommunikationstechnologie und fuer die anwenderbetreuung ona
3511,Techniker für den Betrieb von Informations- und Kommunikationstechnologie,3,techniker fuer den betrieb von informations und kommunikationstechnologie
3512,Techniker für die Anwenderbetreuung in der Informations- und Kommunikationstechnologie,3,techniker fuer die anwenderbetreuung in der informations und kommunikationstechnologie
3513,Techniker für Computernetzwerke und -systeme,3,techniker fuer computernetzwerke und systeme
3514,Webmaster,3,webmaster
3520,"Telekommunikations- und Rundfunktechniker, onA",3,telekommunikations und rundfunktechniker ona
3521,Techniker für Rundfunk und audiovisuelle Medien,3,techniker fuer rundfunk und audiovisuelle medien
3522,Telekommunikationstechniker,3,telekommunikationstechniker
