ch_isco_4digit,ads_2020,ads_2021,ads_2022,ads_2023,ads_2024,ads_2025,main_group,delta_2020_2021,delta_2021_2022,delta_2022_2023,delta_2023_2024
2433,244.58499999999998,341.5425,399.6875,353.44,302.4175,296.3625,2,39.64163787640291,17.024235636853387,-11.570914777169666,-14.435972159348115
2510,136.0225,169.91750000000002,268.085,162.02,125.00750000000001,156.225,2,24.918671543310854,57.773625435873264,-39.56394427140645,-22.84440192568819
2511,1109.2125,1484.1025,2088.4175,1294.855,915.335,774.0425,2,33.79785207974124,40.719222560436364,-37.99826902427316,-29.30984550393673
2512,4002.1775,5416.635,7044.4575,4261.844999999999,2958.285,2274.5249999999996,2,35.34219809091427,30.052283382579777,-39.50073515242303,-30.586752920390104
2513,679.9425,824.6800000000001,955.11,512.9075,303.0475,260.5175,2,21.286726451133745,15.815831595285438,-46.298593879239036,-40.91575966426695
2514,176.4575,214.125,259.7075,189.375,124.54,93.8325,2,21.346499865406678,21.287799182720367,-27.081428145124796,-34.23630363036303
2519,703.835,823.205,1270.975,924.8199999999999,560.065,427.77250000000004,2,16.95994089523823,54.39349858176272,-27.23539015322882,-39.44064790986353
2521,418.505,574.995,863.76,538.6175,371.8125,332.7475,2,37.392623744041295,50.22043669944956,-37.64269009910161,-30.96910144954443
2522,1268.6950000000002,1782.235,2414.355,1598.7024999999999,1012.4449999999999,820.9075,2,40.47781381655951,35.46782551122608,-33.78345355177677,-36.67083150242149
2523,386.27250000000004,455.875,592.0425,490.585,320.8325,240.1875,2,18.019015073555575,29.869481765834937,-17.136860951705334,-34.602056728191855
2529,1424.8125,2024.1275,2715.135,1782.21,1189.145,973.535,2,42.062727551870864,34.138536233512966,-34.36016993630152,-33.27694267230012
2611,284.405,352.69,393.59749999999997,412.90999999999997,388.0625,345.85249999999996,2,24.009774792988882,11.59871275057415,4.906662262844658,-6.017655179094711
2619,811.79,1065.645,1325.895,1169.94,966.6875,929.89,2,31.27101836681901,24.421829033120787,-11.762243616575969,-17.372899464929827
2622,506.8825,655.73,838.09,615.9975000000001,500.29,470.405,2,29.365286826828708,27.810226770164554,-26.49983891944779,-18.783761297732543
2631,78.355,105.3125,117.06,95.82,81.9025,63.1475,2,34.40431370046582,11.154896142433236,-18.14454126089186,-14.524629513671458
2634,341.525,492.02,591.825,745.6875,660.005,630.875,2,44.06558817070493,20.284744522580397,25.997972373590155,-11.490403151454196
2635,555.88,678.0799999999999,908.515,1014.13,962.155,982.15,2,21.98316183348923,33.983453279848995,11.625014446651956,-5.125082583100788
2636,122.25,128.375,115.125,142.085,156.605,127.6875,2,5.010224948875256,-10.321324245374878,23.41802388707927,10.219234964985734
2641,162.83499999999998,237.75,289.6675,254.35500000000002,158.69,139.10750000000002,2,46.006693892590675,21.837013669821246,-12.190701407648424,-37.610819523893774
2642,107.565,204.9175,262.8525,152.7475,98.1225,92.52,2,90.50574071491656,28.272353508119135,-41.888511617732384,-35.76163275994697
