ch_isco_4digit,year,quarter,count_ads
2151,2023,2,233.83
2151,2023,3,224.0
2151,2023,4,191.83
2151,2024,1,169.83
2151,2024,2,183.67
2151,2024,3,181.42
2151,2024,4,165.71
2151,2025,1,156.16
2151,2025,2,151.94
2151,2025,3,152.78
2151,2025,4,154.67
2152,2020,1,89.0
2152,2020,2,64.33
2152,2020,3,59.0
2152,2020,4,63.0
2152,2021,1,99.0
2152,2021,2,100.67
2152,2021,3,97.83
2152,2021,4,125.33
2152,2022,1,156.17
2152,2022,2,151.0
2152,2022,3,145.0
2152,2022,4,132.5
2152,2023,1,147.0
2152,2023,2,123.0
2152,2023,3,112.7
2152,2023,4,93.2
2152,2024,1,100.5
2152,2024,2,100.42
2152,2024,3,88.83
2152,2024,4,96.5
2152,2025,1,95.17
2152,2025,2,89.87
2152,2025,3,102.2
2152,2025,4,91.33
2161,2020,1,527.33
2161,2020,2,465.58
2161,2020,3,440.25
2161,2020,4,448.23
2161,2021,1,538.27
2161,2021,2,535.9
2161,2021,3,577.4
2161,2021,4,634.35
2161,2022,1,722.93
2161,2022,2,700.43
2161,2022,3,704.27
2161,2022,4,683.9
2161,2023,1,719.25
2161,2023,2,648.0
2161,2023,3,601.0
2161,2023,4,551.87
2161,2024,1,577.27
2161,2024,2,554.13
2161,2024,3,516.88
2161,2024,4,509.78
2161,2025,1,549.27
2161,2025,2,580.62
2161,2025,3,555.2
2161,2025,4,544.2
2162,2020,1,68.92
2162,2020,2,62.25
2162,2020,3,63.25
2162,2020,4,58.25
2162,2021,1,68.75
2162,2021,2,62.25
2162,2021,3,77.75
2162,2021,4,84.92
2162,2022,1,117.25
2162,2022,2,88.33
2162,2022,3,88.83
2162,2022,4,100.17
2162,2023,1,102.17
2162,2023,2,84.33
2162,2023,3,69.67
2162,2023,4,67.33
2162,2024,1,73.67
2162,2024,2,59.67
2162,2024,3,62.67
2162,2024,4,69.0
2162,2025,1,90.17
2162,2025,2,76.98
2162,2025,3,86.5
2162,2025,4,72.33
2163,2020,1,145.83
2163,2020,2,81.0
2163,2020,3,87.17
2163,2020,4,119.0
2163,2021,1,154.42
2163,2021,2,174.25
2163,2021,3,184.42
2163,2021,4,209.33
2163,2022,1,230.5
2163,2022,2,237.5
2163,2022,3,213.33
2163,2022,4,188.83
2163,2023,1,185.83
2163,2023,2,237.5
2163,2023,3,192.0
2163,2023,4,157.58
2163,2024,1,135.17
2163,2024,2,146.17
2163,2024,3,145.67
2163,2024,4,118.42
2163,2025,1,135.45
2163,2025,2,144.28
2163,2025,3,145.08
2163,2025,4,135.92
2164,2020,1,103.25
2164,2020,2,74.42
2164,2020,3,83.08
2164,2020,4,116.0
2164,2021,1,124.0
2164,2021,2,116.7
2164,2021,3,121.53
2164,2021,4,136.32
2164,2022,1,145.58
2164,2022,2,150.67
2164,2022,3,168.83
2164,2022,4,154.5
2164,2023,1,157.83
2164,2023,2,137.67
2164,2023,3,126.33
2164,2023,4,130.87
2164,2024,1,148.03
2164,2024,2,142.03
2164,2024,3,132.0
2164,2024,4,117.67
2164,2025,1,112.25
2164,2025,2,127.08
2164,2025,3,107.58
2164,2025,4,99.42
2165,2020,1,150.97
2165,2020,2,161.47
2165,2020,3,149.18
2165,2020,4,136.75
2165,2021,1,151.53
2165,2021,2,191.23
2165,2021,3,193.65
2165,2021,4,217.5
2165,2022,1,207.93
2165,2022,2,179.82
2165,2022,3,197.57
2165,2022,4,175.87
2165,2023,1,157.2
2165,2023,2,159.5
2165,2023,3,180.83
2165,2023,4,169.95
2165,2024,1,146.53
2165,2024,2,157.65
2165,2024,3,167.58
2165,2024,4,158.5
2165,2025,1,166.03
2165,2025,2,173.97
2165,2025,3,190.68
2165,2025,4,165.12
2166,2020,1,496.15
2166,2020,2,395.9
2166,2020,3,400.92
2166,2020,4,432.0
2166,2021,1,512.57
2166,2021,2,605.37
2166,2021,3,641.95
2166,2021,4,720.2
2166,2022,1,890.28
2166,2022,2,748.45
2166,2022,3,662.78
2166,2022,4,616.78
2166,2023,1,647.78
2166,2023,2,544.53
2166,2023,3,510.42
2166,2023,4,458.75
2166,2024,1,468.58
2166,2024,2,482.17
2166,2024,3,460.83
2166,2024,4,441.53
