soc_code,isco_4digit,main_group,E_j,delta_bfs,is_outlier,employed_2022,employed_2024,qualification_level,sector
19-4021.00,3141,3,0.58118662769569,-3.5863230283961043,False,3.350140159418,3.229993311397246,3,Sonstiges
19-4031.00,2113,2,0.28296054918446156,-25.65705168449016,False,3.974386962397,2.954676445313163,4,Sonstiges
19-4042.00,3111,3,0.42396611391356,-7.007106968561465,False,8.995486047674996,8.365162717972387,3,Sonstiges
19-4043.00,2114,2,0.3403000956002167,1.2700677764207162,False,1.3645087371050002,1.381838922881416,4,Sonstiges
19-4051.00,3111,3,0.14124214313499142,-7.007106968561465,False,8.995486047674996,8.365162717972387,3,Sonstiges
19-4051.02,3111,3,0.05578730378224822,-7.007106968561465,False,8.995486047674996,8.365162717972387,3,Sonstiges
19-4061.00,2632,2,0.7574353128089545,-9.066907418159886,False,1.5603602284769995,1.418883811171202,4,Sonstiges
19-4071.00,2133,2,0.171613164842616,19.90030126565172,False,3.499424292972,4.195820269836831,4,Sonstiges
19-4092.00,2632,2,0.27241029583660537,-9.066907418159886,False,1.5603602284769995,1.418883811171202,4,Sonstiges
19-4099.03,3111,3,0.5738004212006715,-7.007106968561465,False,8.995486047674996,8.365162717972387,3,Sonstiges
19-5011.00,2263,2,0.5272711499680811,5.182528827238589,False,0.32615951275,0.3430628235210496,4,Sonstiges
19-5012.00,3257,3,0.37793890055392615,37.2375243734849,False,1.93101920804,2.65008295629057,3,Sonstiges
21-1011.00,2635,2,0.05049179983133118,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1013.00,2635,2,0.0,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1014.00,2635,2,0.13578936754504606,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1021.00,2635,2,0.0,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1022.00,2635,2,0.0,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1023.00,2635,2,0.0,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1091.00,2422,2,0.12431617719278863,74.2896888654673,True,2.9147980542490006,5.080192459807278,4,Sonstiges
21-1092.00,2635,2,0.14993271197262328,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-1093.00,2635,2,0.0,4.199509809449249,False,18.731495843976003,19.518126849400357,4,Sonstiges
21-2011.00,2636,2,0.0,-1.3133456209140169,False,5.976385258751999,5.897894664667229,4,Sonstiges
21-2021.00,2636,2,0.0,-1.3133456209140169,False,5.976385258751999,5.897894664667229,4,Sonstiges
23-1012.00,3411,3,0.4009959411131865,0.8717809279335977,False,12.039343043658002,12.144299740161111,3,Sonstiges
23-1021.00,2612,2,0.3325710797090459,13.748204845047132,False,1.7479735068289997,1.9882884851850045,4,Sonstiges
