ch_isco_4digit,E_j_mean,E_sub_mean,E_aug_mean,main_group,n_onet_berufe,periode,delta_bfs,post_ki
2320,0.2552652217057952,0.22515610595875393,0.2984247979556782,2,3,2022_2023,11.945425789920789,1
2330,0.09926515462946717,0.08330443040340169,0.12249460346442682,2,3,2022_2023,9.82335079942018,1
2342,0.0,0.0,0.0,2,1,2022_2023,-1.0846541353660617,1
2351,0.1162427724294541,0.09802809991639758,0.14272385417687164,2,1,2022_2023,5.122448727310465,1
2352,0.0422759515407441,0.03635411786238498,0.05084168224852658,2,6,2022_2023,-11.94655844264049,1
2411,0.469759797881281,0.44308483416190514,0.5056266736101193,2,5,2022_2023,12.555328445256924,1
2412,0.4328496471444842,0.3960269087232877,0.4844588392164715,2,3,2022_2023,5.4333202783260965,1
2413,0.6726124735648505,0.641720540690367,0.7128984040387887,2,1,2022_2023,9.829470686790428,1
2421,0.7565430316450931,0.7196164098891189,0.8051605183828724,2,3,2022_2023,4.057919069556528,1
2422,0.3839866195274709,0.34405580690357257,0.44078278938475707,2,6,2022_2023,12.708518473581996,1
2423,0.20634987976402383,0.18968719534133888,0.22960162673364398,2,2,2022_2023,13.8692656175341,1
2424,0.026776758301294997,0.02172265411113542,0.034177870274760755,2,1,2022_2023,15.16378181037498,1
2431,0.29866137208630633,0.2760771585649454,0.3299915967076502,2,4,2022_2023,8.88997022311225,1
2432,0.07563755414430172,0.06384307048074515,0.09278118389598161,2,3,2022_2023,-16.763858032526702,1
2433,0.039748504271787014,0.03509007310855639,0.046423606385277996,2,2,2022_2023,8.401319515391744,1
2511,0.6727576437048053,0.5998656429089372,0.7767109301868262,2,2,2022_2023,5.496056730073852,1
2512,0.6802975871903346,0.6173856706044414,0.769048502941803,2,1,2022_2023,4.67373722581077,1
2513,0.6894896384263604,0.6400274001190797,0.7577624810993836,2,1,2022_2023,4.958719003962911,1
2514,0.48399484275155946,0.45358120148033254,0.5253907653263998,2,2,2022_2023,3.8803548331288686,1
2519,0.6780644185604101,0.6339061602656023,0.7384080035967875,2,1,2022_2023,21.858724388163537,1
2521,0.752357356960318,0.6905089800766947,0.8387949678559083,2,3,2022_2023,14.382416644891634,1
2522,0.3785516184236683,0.3469302641295969,0.42280418582950996,2,1,2022_2023,-17.25925434627982,1
2523,0.6839177845305803,0.6168500686938004,0.778933341416174,2,1,2022_2023,7.826022146461581,1
2529,0.42892639139442235,0.3830219414491043,0.4943409060977615,2,3,2022_2023,18.513841341373155,1
2612,0.37029343383797575,0.34672783081205316,0.40241446505633754,2,3,2022_2023,4.655659504980661,1
2619,0.3187487122010043,0.28207730308020085,0.37123857894223444,2,2,2022_2023,-4.816161242250264,1
2621,0.31335417063095017,0.2851069734617847,0.35312608391376843,2,9,2022_2023,11.84688342369246,1
2631,0.7857606888513935,0.7363056952696229,0.8530859365866877,2,1,2022_2023,11.778707478971857,1
2632,0.5490824765465727,0.5167618346564143,0.5927360288375377,2,4,2022_2023,-2.686402794866648,1
2633,0.49205815628618926,0.4532413895119056,0.5461141026918722,2,2,2022_2023,-8.98703549067408,1
2634,0.22974667897856604,0.21087412920754725,0.2561207809791085,2,4,2022_2023,11.886152172239251,1
2635,0.04014773107671718,0.0351026528889423,0.04740507533924327,2,11,2022_2023,-1.4383096309786148,1
2636,0.0,0.0,0.0,2,2,2022_2023,-6.473304929606237,1
2641,0.3620335837530018,0.34670507155125163,0.3817481986179781,2,3,2022_2023,4.837703265207044,1
2642,0.20486851928404498,0.18763140633111797,0.22900546632320698,2,1,2022_2023,6.436329230402017,1
2643,0.2544574660575126,0.2506988563794241,0.25767962579958564,2,2,2022_2023,-0.193628439223412,1
2651,0.09046491290580455,0.07730481813133572,0.10953444662034485,2,8,2022_2023,-2.621254866673034,1
2652,0.03273005110113329,0.026617717402733707,0.04167743593299449,2,2,2022_2023,9.620867972399273,1
2653,0.0,0.0,0.0,2,1,2022_2023,-29.88269006690966,1
2654,0.18060736001491304,0.1575156425643884,0.2138554573098491,2,3,2022_2023,-1.3864524909636002,1
2659,0.0,0.0,0.0,2,1,2022_2023,-11.6713059780884,1
3111,0.25738353100803685,0.2344171243728451,0.2896947184995162,3,6,2022_2023,11.078589824317651,1
3112,0.15753676610468684,0.14062003761395095,0.1816485221639499,3,12,2022_2023,7.263336089612787,1
3113,0.16505882365765928,0.145526094293563,0.19306304791180479,3,5,2022_2023,1.3332936058571248,1
3114,0.19866057129230452,0.1799752745573035,0.22505324654120443,3,5,2022_2023,6.055286048137387,1
3115,0.24198888448288364,0.21605377272031223,0.2789501663961916,3,11,2022_2023,14.460865770904926,1
3118,0.5130839303642251,0.4624829251962632,0.5847992886693484,3,3,2022_2023,1.0909446625413266,1
3119,0.2680410339561079,0.23544031965774148,0.3148533810442715,3,3,2022_2023,3.0028482003081503,1
3122,0.041247963217058765,0.03567429681793461,0.04929590117961561,3,3,2022_2023,-1.574059692593916,1
3123,0.017075214128023566,0.014859537882687505,0.0202678801579402,3,15,2022_2023,-5.188220632875719,1
3131,0.17435440003063277,0.15804975207169533,0.1973746733315683,3,6,2022_2023,-24.2952688343069,1
3132,0.11892412912364449,0.10393034440870545,0.1404965140114721,3,2,2022_2023,-28.014693860580717,1
3139,0.024446933115501744,0.021627418367834942,0.02848325157287711,3,2,2022_2023,140.7940063830147,1
3141,0.5136179735305835,0.4964644847184211,0.5346243569615662,3,4,2022_2023,-4.4406394668884,1
3143,0.0,0.0,0.0,3,1,2022_2023,-12.492309076583464,1
3152,0.0,0.0,0.0,3,3,2022_2023,-40.999459707321904,1
3153,0.08707444928081386,0.07643474045437863,0.1023562635250816,3,3,2022_2023,8.421078352415426,1
3154,0.1793472036980106,0.15368704892479737,0.21650110800097924,3,3,2022_2023,86.18799828803424,1
3211,0.06224871969646119,0.05447437548088772,0.07342839600826066,3,1,2022_2023,19.555847178604104,1
3212,0.1759180754382399,0.15900250831441837,0.19984924082963004,3,5,2022_2023,-6.086451412352519,1
3214,0.10284623184788794,0.08814279862597359,0.12413488736114202,3,6,2022_2023,0.2970296065445223,1
3240,0.19079996615304318,0.17329961127214916,0.21547283876014023,3,1,2022_2023,22.268354726697854,1
3252,0.5270247430035188,0.4995756249887113,0.5635080496089936,3,3,2022_2023,1.6514785679103867,1
